time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2021-04-17T00:00:00.000Z","LatLng(45.314247, 12.508056)","-50.814","/","2021-04-17T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2021-04-17T00:00:00.000Z","LatLng(45.314247, 12.508056)","-12.03","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-04-17T11:30:00.000Z","LatLng(45.314247, 12.508056)","4.401065048","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2021-04-24T00:00:00.000Z","LatLng(45.314247, 12.508056)","-60.315","/","2021-04-24T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2021-04-24T00:00:00.000Z","LatLng(45.314247, 12.508056)","10.21","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-04-24T11:30:00.000Z","LatLng(45.314247, 12.508056)","-3.996498715","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2021-05-01T00:00:00.000Z","LatLng(45.314247, 12.508056)","-65.134","/","2021-05-01T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2021-05-01T00:00:00.000Z","LatLng(45.314247, 12.508056)","-39.97","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-05-01T11:30:00.000Z","LatLng(45.314247, 12.508056)","-50.84147614","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2021-05-08T00:00:00.000Z","LatLng(45.314247, 12.508056)","-48.218","/","2021-05-08T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2021-05-08T00:00:00.000Z","LatLng(45.314247, 12.508056)","-49.01","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-05-08T11:30:00.000Z","LatLng(45.314247, 12.508056)","-5.303439814","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2021-05-15T00:00:00.000Z","LatLng(45.314247, 12.508056)","-59.087","/","2021-05-15T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2021-05-15T00:00:00.000Z","LatLng(45.314247, 12.508056)","-43.8","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-05-15T11:30:00.000Z","LatLng(45.314247, 12.508056)","-6.075184909","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2021-05-22T00:00:00.000Z","LatLng(45.314247, 12.508056)","-40.608","/","2021-05-22T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2021-05-22T00:00:00.000Z","LatLng(45.314247, 12.508056)","113.11","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
